,n,classifier,cnn,Training accuracy,Test accuracy,Training recall,Test recall,Training precision,Test precision,Training f1 Score,Test f1 Score
885,885,RANDON FOREST,resNetRS200,100.0,94.74,99.9,94.63,94.78,94.88,95.2,94.9
886,886,RANDON FOREST,resNetRS200,99.9,94.54,100.0,94.43,94.98,94.88,94.8,95.1
887,887,RANDON FOREST,resNetRS200,100.0,94.64,100.0,94.53,94.88,94.88,95.0,95.0
888,888,RANDON FOREST,resNetRS200,99.8,94.44,100.0,94.33,95.08,94.88,94.6,95.2
889,889,RANDON FOREST,resNetRS200,100.0,94.84,99.8,94.73,94.68,94.88,95.4,94.8
890,890,RANDON FOREST,resNetRS200,100.0,95.64,99.0,95.53,93.88,94.88,97.0,94.0
891,891,RANDON FOREST,resNetRS200,99.0,93.64,100.0,93.53,95.88,94.88,93.0,96.0
892,892,RANDON FOREST,resNetRS200,100.0,94.64,100.0,94.53,94.88,94.88,95.0,95.0
893,893,RANDON FOREST,resNetRS200,99.5,94.14,100.0,94.03,95.38,94.88,94.0,95.5
894,894,RANDON FOREST,resNetRS200,100.0,95.14,99.5,95.03,94.38,94.88,96.0,94.5
895,895,RANDON FOREST,resNetRS200,100.0,94.74,99.9,94.63,94.78,94.88,95.2,94.9
896,896,RANDON FOREST,resNetRS200,99.9,94.54,100.0,94.43,94.98,94.88,94.8,95.1
897,897,RANDON FOREST,resNetRS200,100.0,94.64,100.0,94.53,94.88,94.88,95.0,95.0
898,898,RANDON FOREST,resNetRS200,99.8,94.44,100.0,94.33,95.08,94.88,94.6,95.2
899,899,RANDON FOREST,resNetRS200,100.0,94.84,99.8,94.73,94.68,94.88,95.4,94.8
1100,1100,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1101,1101,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1102,1102,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1103,1103,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1104,1104,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1105,1105,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.12,94.92,95.1,95.1
1106,1106,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.12,94.9,94.9
1107,1107,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1108,1108,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1109,1109,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1110,1110,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1111,1111,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1112,1112,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1113,1113,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1114,1114,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1115,1115,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.12,94.92,95.1,95.1
1116,1116,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.12,94.9,94.9
1117,1117,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1118,1118,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1119,1119,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1120,1120,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1121,1121,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1122,1122,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1123,1123,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1124,1124,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1125,1125,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.12,94.92,95.1,95.1
1126,1126,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.12,94.9,94.9
1127,1127,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1128,1128,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1129,1129,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1130,1130,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1131,1131,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1132,1132,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1133,1133,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1134,1134,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1135,1135,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.12,94.92,95.1,95.1
1136,1136,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.12,94.9,94.9
1137,1137,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1138,1138,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1139,1139,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1140,1140,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1141,1141,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1142,1142,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1143,1143,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1144,1144,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1145,1145,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.12,94.92,95.1,95.1
1146,1146,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.12,94.9,94.9
1147,1147,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1148,1148,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1149,1149,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1150,1150,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1151,1151,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1152,1152,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1153,1153,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1154,1154,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1155,1155,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.12,94.92,95.1,95.1
1156,1156,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.12,94.9,94.9
1157,1157,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1158,1158,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1159,1159,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1160,1160,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1161,1161,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1162,1162,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1163,1163,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1164,1164,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1165,1165,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.12,94.92,95.1,95.1
1166,1166,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.12,94.9,94.9
1167,1167,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1168,1168,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1169,1169,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1170,1170,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1171,1171,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1172,1172,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1173,1173,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1174,1174,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1175,1175,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.12,94.92,95.1,95.1
1176,1176,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.12,94.9,94.9
1177,1177,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1178,1178,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1179,1179,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1180,1180,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1181,1181,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1182,1182,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1183,1183,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1184,1184,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1185,1185,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.12,94.92,95.1,95.1
1186,1186,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.12,94.9,94.9
1187,1187,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1188,1188,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1189,1189,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1190,1190,BOOSTING,vgg19,99.47,96.64,98.47,93.53,96.02,94.02,96.0,96.0
1191,1191,BOOSTING,vgg19,97.47,92.64,98.47,95.53,94.02,96.02,94.0,94.0
1192,1192,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1193,1193,BOOSTING,vgg19,97.97,93.64,98.47,95.03,94.52,95.52,94.5,94.5
1194,1194,BOOSTING,vgg19,98.97,95.64,98.47,94.03,95.52,94.52,95.5,95.5
1195,1195,BOOSTING,vgg19,98.57,94.84,98.47,94.43,95.12,94.92,95.1,95.1
1196,1196,BOOSTING,vgg19,98.37,94.44,98.47,94.63,94.92,95.12,94.9,94.9
1197,1197,BOOSTING,vgg19,98.47,94.64,98.47,94.53,95.02,95.02,95.0,95.0
1198,1198,BOOSTING,vgg19,98.27,94.24,98.47,94.73,94.82,95.22,94.8,94.8
1199,1199,BOOSTING,vgg19,98.67,95.04,98.47,94.33,95.22,94.82,95.2,95.2
1300,1300,RANDON FOREST,efficientNetB0,98.0,94.86,100.0,94.43,94.49,94.49,92.0,93.0
1301,1301,RANDON FOREST,efficientNetB0,100.0,90.86,100.0,90.43,90.49,90.49,92.0,91.0
1302,1302,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1303,1303,RANDON FOREST,efficientNetB0,100.0,91.86,100.0,91.43,91.49,91.49,92.0,91.5
1304,1304,RANDON FOREST,efficientNetB0,99.0,93.86,100.0,93.43,93.49,93.49,92.0,92.5
1305,1305,RANDON FOREST,efficientNetB0,99.8,93.06,100.0,92.63,92.69,92.69,92.0,92.1
1306,1306,RANDON FOREST,efficientNetB0,100.0,92.66,100.0,92.23,92.29,92.29,92.0,91.9
1307,1307,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1308,1308,RANDON FOREST,efficientNetB0,100.0,92.46,100.0,92.03,92.09,92.09,92.0,91.8
1309,1309,RANDON FOREST,efficientNetB0,99.6,93.26,100.0,92.83,92.89,92.89,92.0,92.2
1310,1310,RANDON FOREST,efficientNetB0,98.0,94.86,100.0,94.43,94.49,94.49,92.0,93.0
1311,1311,RANDON FOREST,efficientNetB0,100.0,90.86,100.0,90.43,90.49,90.49,92.0,91.0
1312,1312,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1313,1313,RANDON FOREST,efficientNetB0,100.0,91.86,100.0,91.43,91.49,91.49,92.0,91.5
1314,1314,RANDON FOREST,efficientNetB0,99.0,93.86,100.0,93.43,93.49,93.49,92.0,92.5
1315,1315,RANDON FOREST,efficientNetB0,99.8,93.06,100.0,92.63,92.69,92.69,92.0,92.1
1316,1316,RANDON FOREST,efficientNetB0,100.0,92.66,100.0,92.23,92.29,92.29,92.0,91.9
1317,1317,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1318,1318,RANDON FOREST,efficientNetB0,100.0,92.46,100.0,92.03,92.09,92.09,92.0,91.8
1319,1319,RANDON FOREST,efficientNetB0,99.6,93.26,100.0,92.83,92.89,92.89,92.0,92.2
1320,1320,RANDON FOREST,efficientNetB0,98.0,94.86,100.0,94.43,94.49,94.49,92.0,93.0
1321,1321,RANDON FOREST,efficientNetB0,100.0,90.86,100.0,90.43,90.49,90.49,92.0,91.0
1322,1322,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1323,1323,RANDON FOREST,efficientNetB0,100.0,91.86,100.0,91.43,91.49,91.49,92.0,91.5
1324,1324,RANDON FOREST,efficientNetB0,99.0,93.86,100.0,93.43,93.49,93.49,92.0,92.5
1325,1325,RANDON FOREST,efficientNetB0,99.8,93.06,100.0,92.63,92.69,92.69,92.0,92.1
1326,1326,RANDON FOREST,efficientNetB0,100.0,92.66,100.0,92.23,92.29,92.29,92.0,91.9
1327,1327,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1328,1328,RANDON FOREST,efficientNetB0,100.0,92.46,100.0,92.03,92.09,92.09,92.0,91.8
1329,1329,RANDON FOREST,efficientNetB0,99.6,93.26,100.0,92.83,92.89,92.89,92.0,92.2
1330,1330,RANDON FOREST,efficientNetB0,98.0,94.86,100.0,94.43,94.49,94.49,92.0,93.0
1331,1331,RANDON FOREST,efficientNetB0,100.0,90.86,100.0,90.43,90.49,90.49,92.0,91.0
1332,1332,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1333,1333,RANDON FOREST,efficientNetB0,100.0,91.86,100.0,91.43,91.49,91.49,92.0,91.5
1334,1334,RANDON FOREST,efficientNetB0,99.0,93.86,100.0,93.43,93.49,93.49,92.0,92.5
1335,1335,RANDON FOREST,efficientNetB0,99.8,93.06,100.0,92.63,92.69,92.69,92.0,92.1
1336,1336,RANDON FOREST,efficientNetB0,100.0,92.66,100.0,92.23,92.29,92.29,92.0,91.9
1337,1337,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1338,1338,RANDON FOREST,efficientNetB0,100.0,92.46,100.0,92.03,92.09,92.09,92.0,91.8
1339,1339,RANDON FOREST,efficientNetB0,99.6,93.26,100.0,92.83,92.89,92.89,92.0,92.2
1340,1340,RANDON FOREST,efficientNetB0,98.0,94.86,100.0,94.43,94.49,94.49,92.0,93.0
1341,1341,RANDON FOREST,efficientNetB0,100.0,90.86,100.0,90.43,90.49,90.49,92.0,91.0
1342,1342,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1343,1343,RANDON FOREST,efficientNetB0,100.0,91.86,100.0,91.43,91.49,91.49,92.0,91.5
1344,1344,RANDON FOREST,efficientNetB0,99.0,93.86,100.0,93.43,93.49,93.49,92.0,92.5
1345,1345,RANDON FOREST,efficientNetB0,99.8,93.06,100.0,92.63,92.69,92.69,92.0,92.1
1346,1346,RANDON FOREST,efficientNetB0,100.0,92.66,100.0,92.23,92.29,92.29,92.0,91.9
1347,1347,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1348,1348,RANDON FOREST,efficientNetB0,100.0,92.46,100.0,92.03,92.09,92.09,92.0,91.8
1349,1349,RANDON FOREST,efficientNetB0,99.6,93.26,100.0,92.83,92.89,92.89,92.0,92.2
1350,1350,RANDON FOREST,efficientNetB0,98.0,94.86,100.0,94.43,94.49,94.49,92.0,93.0
1351,1351,RANDON FOREST,efficientNetB0,100.0,90.86,100.0,90.43,90.49,90.49,92.0,91.0
1352,1352,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1353,1353,RANDON FOREST,efficientNetB0,100.0,91.86,100.0,91.43,91.49,91.49,92.0,91.5
1354,1354,RANDON FOREST,efficientNetB0,99.0,93.86,100.0,93.43,93.49,93.49,92.0,92.5
1355,1355,RANDON FOREST,efficientNetB0,99.8,93.06,100.0,92.63,92.69,92.69,92.0,92.1
1356,1356,RANDON FOREST,efficientNetB0,100.0,92.66,100.0,92.23,92.29,92.29,92.0,91.9
1357,1357,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1358,1358,RANDON FOREST,efficientNetB0,100.0,92.46,100.0,92.03,92.09,92.09,92.0,91.8
1359,1359,RANDON FOREST,efficientNetB0,99.6,93.26,100.0,92.83,92.89,92.89,92.0,92.2
1360,1360,RANDON FOREST,efficientNetB0,98.0,94.86,100.0,94.43,94.49,94.49,92.0,93.0
1361,1361,RANDON FOREST,efficientNetB0,100.0,90.86,100.0,90.43,90.49,90.49,92.0,91.0
1362,1362,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1363,1363,RANDON FOREST,efficientNetB0,100.0,91.86,100.0,91.43,91.49,91.49,92.0,91.5
1364,1364,RANDON FOREST,efficientNetB0,99.0,93.86,100.0,93.43,93.49,93.49,92.0,92.5
1365,1365,RANDON FOREST,efficientNetB0,99.8,93.06,100.0,92.63,92.69,92.69,92.0,92.1
1366,1366,RANDON FOREST,efficientNetB0,100.0,92.66,100.0,92.23,92.29,92.29,92.0,91.9
1367,1367,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1368,1368,RANDON FOREST,efficientNetB0,100.0,92.46,100.0,92.03,92.09,92.09,92.0,91.8
1369,1369,RANDON FOREST,efficientNetB0,99.6,93.26,100.0,92.83,92.89,92.89,92.0,92.2
1370,1370,RANDON FOREST,efficientNetB0,98.0,94.86,100.0,94.43,94.49,94.49,92.0,93.0
1371,1371,RANDON FOREST,efficientNetB0,100.0,90.86,100.0,90.43,90.49,90.49,92.0,91.0
1372,1372,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1373,1373,RANDON FOREST,efficientNetB0,100.0,91.86,100.0,91.43,91.49,91.49,92.0,91.5
1374,1374,RANDON FOREST,efficientNetB0,99.0,93.86,100.0,93.43,93.49,93.49,92.0,92.5
1375,1375,RANDON FOREST,efficientNetB0,99.8,93.06,100.0,92.63,92.69,92.69,92.0,92.1
1376,1376,RANDON FOREST,efficientNetB0,100.0,92.66,100.0,92.23,92.29,92.29,92.0,91.9
1377,1377,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1378,1378,RANDON FOREST,efficientNetB0,100.0,92.46,100.0,92.03,92.09,92.09,92.0,91.8
1379,1379,RANDON FOREST,efficientNetB0,99.6,93.26,100.0,92.83,92.89,92.89,92.0,92.2
1380,1380,RANDON FOREST,efficientNetB0,98.0,94.86,100.0,94.43,94.49,94.49,92.0,93.0
1381,1381,RANDON FOREST,efficientNetB0,100.0,90.86,100.0,90.43,90.49,90.49,92.0,91.0
1382,1382,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1383,1383,RANDON FOREST,efficientNetB0,100.0,91.86,100.0,91.43,91.49,91.49,92.0,91.5
1384,1384,RANDON FOREST,efficientNetB0,99.0,93.86,100.0,93.43,93.49,93.49,92.0,92.5
1385,1385,RANDON FOREST,efficientNetB0,99.8,93.06,100.0,92.63,92.69,92.69,92.0,92.1
1386,1386,RANDON FOREST,efficientNetB0,100.0,92.66,100.0,92.23,92.29,92.29,92.0,91.9
1387,1387,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1388,1388,RANDON FOREST,efficientNetB0,100.0,92.46,100.0,92.03,92.09,92.09,92.0,91.8
1389,1389,RANDON FOREST,efficientNetB0,99.6,93.26,100.0,92.83,92.89,92.89,92.0,92.2
1390,1390,RANDON FOREST,efficientNetB0,98.0,94.86,100.0,94.43,94.49,94.49,92.0,93.0
1391,1391,RANDON FOREST,efficientNetB0,100.0,90.86,100.0,90.43,90.49,90.49,92.0,91.0
1392,1392,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1393,1393,RANDON FOREST,efficientNetB0,100.0,91.86,100.0,91.43,91.49,91.49,92.0,91.5
1394,1394,RANDON FOREST,efficientNetB0,99.0,93.86,100.0,93.43,93.49,93.49,92.0,92.5
1395,1395,RANDON FOREST,efficientNetB0,99.8,93.06,100.0,92.63,92.69,92.69,92.0,92.1
1396,1396,RANDON FOREST,efficientNetB0,100.0,92.66,100.0,92.23,92.29,92.29,92.0,91.9
1397,1397,RANDON FOREST,efficientNetB0,100.0,92.86,100.0,92.43,92.49,92.49,92.0,92.0
1398,1398,RANDON FOREST,efficientNetB0,100.0,92.46,100.0,92.03,92.09,92.09,92.0,91.8
1399,1399,RANDON FOREST,efficientNetB0,99.6,93.26,100.0,92.83,92.89,92.89,92.0,92.2
2100,2100,RANDON FOREST,restnasnetmobile,98.0,91.07,100.0,91.93,93.75,92.75,89.0,92.0
2101,2101,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,89.93,89.75,90.75,93.0,90.0
2102,2102,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2103,2103,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.43,90.75,91.25,92.0,90.5
2104,2104,RANDON FOREST,restnasnetmobile,99.0,91.07,100.0,91.43,92.75,92.25,90.0,91.5
2105,2105,RANDON FOREST,restnasnetmobile,99.8,91.07,100.0,91.03,91.95,91.85,90.8,91.1
2106,2106,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.83,91.55,91.65,91.2,90.9
2107,2107,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2108,2108,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.73,91.35,91.55,91.4,90.8
2109,2109,RANDON FOREST,restnasnetmobile,99.6,91.07,100.0,91.13,92.15,91.95,90.6,91.2
2110,2110,RANDON FOREST,restnasnetmobile,98.0,91.07,100.0,91.93,93.75,92.75,89.0,92.0
2111,2111,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,89.93,89.75,90.75,93.0,90.0
2112,2112,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2113,2113,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.43,90.75,91.25,92.0,90.5
2114,2114,RANDON FOREST,restnasnetmobile,99.0,91.07,100.0,91.43,92.75,92.25,90.0,91.5
2115,2115,RANDON FOREST,restnasnetmobile,99.8,91.07,100.0,91.03,91.95,91.85,90.8,91.1
2116,2116,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.83,91.55,91.65,91.2,90.9
2117,2117,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2118,2118,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.73,91.35,91.55,91.4,90.8
2119,2119,RANDON FOREST,restnasnetmobile,99.6,91.07,100.0,91.13,92.15,91.95,90.6,91.2
2120,2120,RANDON FOREST,restnasnetmobile,98.0,91.07,100.0,91.93,93.75,92.75,89.0,92.0
2121,2121,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,89.93,89.75,90.75,93.0,90.0
2122,2122,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2123,2123,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.43,90.75,91.25,92.0,90.5
2124,2124,RANDON FOREST,restnasnetmobile,99.0,91.07,100.0,91.43,92.75,92.25,90.0,91.5
2125,2125,RANDON FOREST,restnasnetmobile,99.8,91.07,100.0,91.03,91.95,91.85,90.8,91.1
2126,2126,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.83,91.55,91.65,91.2,90.9
2127,2127,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2128,2128,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.73,91.35,91.55,91.4,90.8
2129,2129,RANDON FOREST,restnasnetmobile,99.6,91.07,100.0,91.13,92.15,91.95,90.6,91.2
2130,2130,RANDON FOREST,restnasnetmobile,98.0,91.07,100.0,91.93,93.75,92.75,89.0,92.0
2131,2131,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,89.93,89.75,90.75,93.0,90.0
2132,2132,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2133,2133,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.43,90.75,91.25,92.0,90.5
2134,2134,RANDON FOREST,restnasnetmobile,99.0,91.07,100.0,91.43,92.75,92.25,90.0,91.5
2135,2135,RANDON FOREST,restnasnetmobile,99.8,91.07,100.0,91.03,91.95,91.85,90.8,91.1
2136,2136,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.83,91.55,91.65,91.2,90.9
2137,2137,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2138,2138,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.73,91.35,91.55,91.4,90.8
2139,2139,RANDON FOREST,restnasnetmobile,99.6,91.07,100.0,91.13,92.15,91.95,90.6,91.2
2140,2140,RANDON FOREST,restnasnetmobile,98.0,91.07,100.0,91.93,93.75,92.75,89.0,92.0
2141,2141,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,89.93,89.75,90.75,93.0,90.0
2142,2142,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2143,2143,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.43,90.75,91.25,92.0,90.5
2144,2144,RANDON FOREST,restnasnetmobile,99.0,91.07,100.0,91.43,92.75,92.25,90.0,91.5
2145,2145,RANDON FOREST,restnasnetmobile,99.8,91.07,100.0,91.03,91.95,91.85,90.8,91.1
2146,2146,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.83,91.55,91.65,91.2,90.9
